Reference,Value,Footprint,MPN,Datasheet,Link,Alt Link,Alt Link 2,Qty
"C1, C6, C8",100nF,603,CL10F104ZO8NNNC ,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10F104ZO8NNNC.jsp,https://www.digikey.com/product-detail/en/CL10F104ZO8NNNC/1276-1258-1-ND/3889344/,https://www.arrow.com/en/products/cl10f104zo8nnnc/samsung-electro-mechanics,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100nF-104-10-50V_C14663.html,3
C2-C4,220uF (PS1),10x10,UUD1H221MNL1GS,http://nichicon-us.com/english/products/pdfs/e-uud.pdf,https://www.digikey.com/product-detail/en/nichicon/UUD1H221MNL1GS/493-2308-1-ND/590283,https://www.arrow.com/en/products/uud1h221mnl1gs/nichicon,https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_Nichicon_UUD1H221MNL1GS_220UF-50V_C125976.html,3
C2-C4,DNI (PS2+PS3 only),N/A,N/A,N/A,N/A,N/A,N/A,0
C2-C4,1000uF (all PSX models),10x10,UUD1A102MNL1GS,http://nichicon-us.com/english/products/pdfs/e-uud.pdf,https://www.digikey.com/product-detail/en/nichicon/UUD1A102MNL1GS/493-2254-1-ND/590229,https://www.arrow.com/en/products/uud1a102mnl1gs/nichicon,https://lcsc.com/product-detail/Others_Lelon-VE-102M0J1010-TRO_C249473.html,3
C5,10uF,4x5.4,EEE-FK1E100R,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEE-FK1E100R/PCE3795CT-ND/766171,https://www.arrow.com/en/products/eeefk1e100r/panasonic,https://lcsc.com/product-detail/Others_PANASONIC-EEE1EA100WAR_C336730.html,1
C7,10nF,603,CL10B103KB8NCNC,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10B103KB8NCNC.jsp,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B103KB8NCNC/1276-1921-1-ND/3890007,https://www.arrow.com/en/products/cc0603krx7r9bb103/yageo,https://lcsc.com/product-detail/Others_Samsung-Electro-Mechanics_CL10B103KB8NFNC_Samsung-Electro-Mechanics-CL10B103KB8NFNC_C307477.html,1
FB1,220R,603,MPZ1608S221ATA00,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_power_mpz1608_en.pdf,https://www.digikey.com/product-detail/en/tdk-corporation/MPZ1608S221ATA00/445-1565-1-ND/571895,https://www.arrow.com/en/products/mpz1608s221ata00/tdk,https://lcsc.com/product-detail/Ferrite-Beads-And-Chips_220R-25-2-2A_C96997.html,1
J1,PSX AV Connector,PSX_BREAKOUT:PSX_AV,,,https://console5.com/store/sony-playstation-1-2-ps1-ps2-av-multi-out-plug-for-custom-rgb-cables-repair.html, , ,1
J2,S-Video,Mini Din 4,"MD-40
S, SG, SM or SGK",http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf,https://www.digikey.com/product-detail/en/cui-inc/MD-40SM/CP-2240-ND/96935,https://www.arrow.com/en/products/md-40sm/cui-inc, ,1
J3,Headphone Jack,3 pin,SJ1-3533NG,https://www.cui.com/product/resource/digikeypdf/sj1-353xng.pdf,https://www.digikey.com/product-detail/en/cui-inc/SJ1-3533NG/CP1-3533NG-ND/738701,https://www.arrow.com/en/products/sj1-3533ng/cui-inc,https://lcsc.com/product-detail/Audio-Video-Connectors_Boom-Precision-Elec-3-5mmAudio-sockets-PJ325_C26230.html,1
